Ping,Mark,Tom
,MakerBot®,Inc. Magazine
,State Street Bank,ISS | Institutional Shareholder Services
,UNOde50,VAU Company
,LUKNS Media,Freelance
,3D Space Labs,AppliedQ
,Babson College,The Atlantic
,7Fox Media,Brooklyn Gin - Brooklyn Craft Works
,Shophood,Index.hr
,Ingram Micro,Groupon
,ZiPayroll.com / ASCTFSPayroll.com,YuMe
,Rumble Fox LLC,Norwegian Cruise Line
,OmniDynamics,TribeTats
,Various,Surveyor Capital
,Yale University,CNN
,Verizon Wireless,The Silk Initiative
,LCH.Clearnet,Saentis Peak Advisory Services
,RAPID,Smaato Inc.
,,Accuen
,Ethan Partners,WFA - The World Federation of Advertisers
,littleBits,OpenX
,Citizens Bank,HAX
,Access Staffing,The EstŽe Lauder Companies Inc.
,"The Whole Package, LLC",Storyful
,LaunchPack,New York Fashion Fellows + Venture Fellows Program
,Makerbot Industries,App Annie
,Tradition,Newport Mesa Unified School District
,"Noven Pharmaceuticals, Inc.",DAC group
,Food Manufacturer / Airline Food Service Brokerage,Open mHealth
,Bindo,Visible.vc
,Videojet,Latinity - Latin America Women in Technology Conference
,Wurth USA,Citi
,MakerBot®,Didit Search Marketing
,Multiple Mediums,Merkle
,Andela,
,Autosport Designs,Datadog
,Verify Markets,Crisp Media
,Xerox,Mani Diaries
,Pandora,PBS MediaTwits
,Domain Services,EventHero
,CB Insights,ShoutEm
,"REPRAPPER TECH Co., Limited",LBS Ventures
,Imaginex,Xaxis
,Roboze,InvenSense Inc.
,GANDER.tv,
,Betteridge/bespoke,Brown University
,,VINA
,,Jump Associates
,Oracle,x.ai
,Condon & Forsyth LLP,"St. Cloud Capital, LLC"
,Entrepreneur,Freelance
,able to leap films,The Mountaintop Program
,PromoRepublic,Goltra Castings Company
,Total Merchant Systems,Parrable
,Financial Poise,VideoInk
,Master of Business Leadership Inc.,Domaine les Loges
,Genuent,AppSocially Inc.
,MakerBot®,IPONWEB
,Technigriti Systems (P) Ltd,Soltra
,Creíble Infotech Solutions Pvt. Ltd.,LISA (Levant International Startup Association)
,HBO,Perk Mobile Inc.
,Riley,Deloitte
,La Hacienda Foods,"Lowe's Companies, Inc."
,Whitehall Media,Oregon Video Game Association
,"Shenzhen Jinpai communication equipment Co.,Ltd",Facebook
,Shire Pharmaceuticals,mbloom
,DOCE:NOON,Quickly
,T-Tech Automation Inc.,audioBoom
,Skillshare,NYC Marketing Mixer
,Sotheby's International Realty,
,,theSkimm
,BWG Strategy LLC,
,Truman James,
,Import Export Center,Weber Shandwick
,Lindt & Sprungli,Mediapost
,Media Markt - Saturn Nederland,CANDLIFY VR Technologies
,Styled Sharp,Nickelodeon
,True.,Employees Retirement System of Texas
,WPIX-TV,Snowe
,Alexander Daniels Global,Google
,Juno Inc.,Fin
,Shapeways,Lend Lease
,JNK Securities,Women in Wireless
,Skyfi Labs,Superhuman
,Andela,VIDA Fitness & Aura Spa
,Self-employed,Agency by Others
,CheapSSLSecurity.com,Tremor Video
,C3D Labs,Turner Broadcasting
,Andela,CircleClick
,Indian Institute of Science,Reserve
,Capsule Technologie,AnyRoad
,Benetton Group,Internet Week NY + Europe
,Denial eSports,BBVA
,Nexway,
,Manulith,"Drawbridge, Inc."
,Import Export Center,airfy GmbH
,"Sounder Outdoor Products, LLC.",This Also
,Social Bicycles,Droga5
,,Mercer
,Paris Gallery LLC,Playground
,MakerBot®,JUICE Mobile
,Makerbot Industries,Buzzstarter
,IVY,"Experience Matters, LLC"
,Michael Page,Mobo
,,Belly
,Momofuku Milk Bar,Unilever
,Double Robotics,ADAY
,SGK,ActionX
,Yetsan Group,"24/7 Wall St., LLC"
,OnDeck,Viggle Inc.
,PCI Sales Inc.,Pearson
,Water Treatment & Controls,"Guanghua School of Management, Peking University"
,Changzhou LEKVA Electronics Co.?LTD,Google
,BOND INC,UBIMET
,Global Alternative Energy Alliance,Google
,Confidential Medical Company,Hightide Advertising
,"AXA Advisors, LLC",Spotify
,Apis Group Pty Ltd,The Nielsen Company
,RS Components,Pinterest
,"Hobbs & Towne, Inc. - Cleantech, Energy, Sustainability & Enterprise Technology Executive Search",AppLovin
,Canon Austria GmbH,
,Stratasys Direct Manufacturing,Wix.com
,Expand Research - A Company of The Boston Consulting Group,Delta Partners
,Andela,Crisp Media
,3D Printlife,Gengo
,Michael Page,A. Maison
,Macmillan Learning,Brown Harris Stevens
,Dot Connector,SignalFire
,Ruckus Wireless,Riot Games
,Andela,Charles Schwab
,Wellwall Construction Company Ltd,Adaptly
,Research And Developer,Hearst Digital Media
,Flying Dreams Winery,Strat Americas
,Grove Street Bicycles,Pacific Life
,,TBD - Marketing Dashboard SaaS Application
,3DP4E LLC,Jewelbots
,CirroLogix Pvt. Ltd.,Postmore
,Able to Leap Films,Node.io
,BoulderInvestments.com,Mindfulness Based Achievement
,Lavoratore Autonomo,"KONTOR, Inc."
,MakerBot®,"Neustar, Inc."
,VMH International - Siemens PLM Software,Silicon Valley Bank
,First Delta Group,Johnson & Johnson
,Bank BPH (GE Capital Group),Somo Ltd
,"Earth, Inc.",Panna
,ArlyDesign LAGO Paris,Starwish Technology
,Romanoff International Supply Corporation,CureDuchenne
,MakerBot®,Start-up (stealth mode)
,"AUGUST ACCESSORIES, Inc.",Livestation
,MYO3D,TripAdvisor
,IBM,The Boston Consulting Group
,,GoThrive
,MPC Technologies,1800flowers.com
,,SAP
,??????????????,Dinner Dealer
,Inversiones EN3D,Adacado Inc.
,Bilby 3D,NewsON Media
,Kabra Extrusion Technik,HelloCrowd
,NYU Langone Medical Center,Windward SCS
,BWG Strategy LLC,Allison+Partners
,Murphy Equestrian,YieldMo
,"Dongguan Banner RP& M Co.,Ltd",Volkswagen Group of America
,,PlaceIQ
,Fab Lab El Paso,TriNet
,"HyGen Pharmaceuticals, Inc",University of Chicago Booth School of Business
,3DSWAY Technology,Nontoxic Certified
,Surf Brooklyn!,eBay Inc
,Stratasys,Deloitte
,The Peoples Improv Theater,Academy for Software Engineering
,Stratasys,TalkSurf
,,Our State Magazine
,TimelineIQ,Latina Media Ventures
,Intersect Retail,HYFN
,,Cohen & Steers
,Wolf Guard,Columbia University Medical Center
,EnergyHub,Socratic Labs
,Domino Media Group,The Information
,Cerego,
,The Renaissance Companies Inc.,LaterPay
,MetLife,Market Fusion Analytics
,,District Cowork
,UC Berkeley,20-Jun
,,Alpha UX
,Udacity,api.ai
,Manhattan College,DoApp Inc.
,"Shenzhen HaoGuang Century Technology co., LTD",Robin8
,Skidmore College,Riley
,Business English & Cross Cultural Consulting,Revlon
,Andela,AdSage
,FEDERAL-MOGUL CAIEC AUTOMOTIVE TECHNOLOGY SERVICE CO.LTD,"Parenthoods, Inc"
,Andela,AllTechTEAM.org
,MakerBot® Europe,TechCrunch
,Brinok Solutions,Burpple
,QVC,Liquid | Powered by PCH
,MakerBot®,SourceMedia
,Stratasys Ltd,Opower
,Potoo Marketing,ARC Document Solutions
,Copia Interactive,The Washington Post
,Kryptonite Healthcare Design,Galvanize Ventures
,"Entrepreneurs Org, New York",TripAdvisor
,,
,HireArt,8tracks
,,ThyssenKrupp Elevator Americas
,MakerBot®,The Flatiron School
,Tech Data,Instabed
,Tsuiso,Maker Media
,Relationship Barometer,Harvard Business School
,,The Paley Center for Media
,Precision Castparts,Pressly
,Self Employed,MasterCard
,RHUM & CHOCOLATE,Rent The Runway
,"MEA Strategic Solutions, LLC",Crisp Media
,3D Printing Industries,Palringo
,Ingram Micro,Xero
,3D Printers Online Store,Access Emanate
,Carlyle,Quantcast
,InformaticaDev,OKpanda Inc.
,3ecruit,Clarifai
,ShopKeep,
,Peepmyfooty,RhythmOne
,"Shenzhen Fly Electronic Co., Ltd",MSLGROUP
,World 3D Printing Technology Industry Alliance,Citi Habitats
,A-Software Ltd.,Providence Health & Services
,"REPRAPPER TECH CO., LTD",Farmivore
,PickaJoy,ClickZ Network
,MakerBot® EMEA,Publicitas
,ReachLocal,Point B
,ALLIN,"RedRover Networks, LLC"
,ServUsTECH,1000 Angels
,youngStartup Ventures,YouGov
,Tridimensia.com,Manufacture NY
,Creatingwell 3D Equipment Limited,Rubicon Project
,CADD Centre | 3D Printers | Wide Format Printers & Scanners | 3D Printing Solutions,Soylent
,,Common Living Inc.
,"Four Pillars Technology & Applied materials (Shenzhen) Co. , Ltd.",MRY
,SM/Stream,NAMI-NYC Metro (National Alliance on Mental Illness-NYC Metro)
,"Havenlabs, Inc.",Mediapost
,SoftGreat,"Inventa, Cabify, Faraday, Room Choice, Interface"
,BERATRONIC GmbH,NewSquare Innovation
,MnM Group,Jet.com
,Rapide 3D Limited,100 Entrepreneurs
,Arthrex,Forrester Research
,Image Transforms,Junior
,Stratasys,SUITCASE
,Hill Country Hospitality,MyMusaic
,"ELECFREAKS,Co,,Ltd",StartUp Health
,MakerBot® EMEA,OnTapp Media
,Coastal Construction Group,1500 Walnut Films
,Open Systems Technologies,Edmodo
,youngStartup Ventures,J.P. Morgan
,SMR7 Field Marketing Intelligence,Factual Inc
,MakerBot® Europe,Teikyo University Hospital
,Stratasys Direct Manufacturing,Twitter
,,POLITICO
,Andela,Crisp Media
,"Guiding Metrics | Mount Kisco, NY",McKesson
,Bank of America Merrill Lynch,Time Inc.
,,Access Intelligence
,Aurora ??,Vodafone
,Enterprise Sales Meetup,Sears Holdings Corporation
,SinceTech,CondŽ Nast
,Bilibili Douga,Twitter
,PayTechPros,Lateral Inc.
,Bookworm,Represent.us
,Ortado?u Teknik Üniversitesi-Makine Mühendisli?i,"Jibo, Inc."
,youngStartup Ventures,Unilever Bestfoods LA
,Self-employed,Netflix
,No Kemikals No Lye,Seward & Kissel LLP
,production studio,TripleLift
,,Adform
,Venture Capital Advisory,Occipital
,Scott Brothers Group,Qilin World Capital  / Carrington Capital
,CoPromote,AnyPerk
,"3D ??????,??????????",Alcatel-Lucent
,"JHC technology Co.,Limited",Houlihan Lawrence
,CareerServiceonline,Fastener.io
,,Visa
,Codeflies IT Services,Rao Studios
,,Apidancing beekeeping
,Future Covenant,White Ops
,MnM (3D printing/additive manufacturing gases),BNP Paribas
,Createbot China,Acxiom
,"CBM Technology Co., Ltd",3Cinteractive
,ITFM Services Pty Ltd,"Roseland, a Mack-Cali Company"
,,Adobe
,,Ansa
,,Yale University
,,"HSBC (NY), Seventh Sense (DC), Blue (NY), Imaginary Forces (NY)"
,,
,,Frank N. Magid Associates
,,TradeLive
,,Slavin Family Foundation
,,"Savonix, Inc."
,,Interactive Advertising Bureau
,,Flybridge Capital Partners
,,Indeed.com
,,Tripstr
,,Venture Garden Group
,,MSLGROUP
,,IDG
,,sweetgreen
,,"City of Long Beach, New York"
,,Dropbox
,,Loyal
,,1stdibs.com
,,Amazon
,,Huge
,,Live Nation Entertainment
,,"Native Documents, Inc."
,,"StandDesk, Inc"
,,I Like This Grape
,,Cloud Four
,,
,,Ogilvy & Mather Advertising
,,NinthDecimal
,,Conde Nast
,,Ellevate Network (f.k.a 85 Broads)
,,"xAd, Inc"
,,Apple
,,ScientiaMobile
,,Enrich Capital
,,Lightricks
,,Apica Systems
,,
,,NationSwell
,,Ultra Light Startups
,,PayPal
,,AKQA
,,BK?JANI
,,Producers Guild of America
,,Facebook
,,New York Times Magazine
,,F?zd
,,Noom Inc.
,,Radius
,,Teradata
,,MECLABS
,,Optimizely
,,PlaceIQ
,,
,,Rip Road
,,Various
,,Sonata by TAPTAP
,,Russell Reynolds Associates
,,Art Of Click
,,ChaseFuture
,,Do512
,,Spoon University
,,teamgloria inc
,,http://primowind.com/
,,General Catalyst Partners
,,Various
,,Adobe
,,Google
,,Webflow
,,StatSocial
,,Datorama
,,Cathay-Capital Group
,,Genesys | SoundBite Communications
,,Change The Ratio
,,Seeking Remote Opportunities
,,"Liftoff, Inc."
,,Yahoo
,,"Celtra, Inc."
,,Lerer Hippeau Ventures
,,
,,Baidu
,,"Torben, Lucie und die gelbe Gefahr (TLGG) GmbH"
,,HBO
,,Thomson Reuters
,,UZCA
,,Pollock Spark
,,Vast Ventures
,,Surerange Analysis Ltd
,,Label Insight Corporation
,,Freelancer
,,
,,NestlŽ Nespresso
,,Huge
,,Panoply Media
,,Chartboost
,,
,,Timelio
,,D.A.Consortium Inc.
,,Single Palm Tree Productions
,,Adcade
,,IIAM
,,Spongecell
,,Nutrino
,,"Zaius, Inc."
,,PocketMath
,,Media Development Authority
,,Gisges
,,
,,MobileFuse
,,Predictive
,,"Superhuman, Inc"
,,Wikimedia Foundation
,,Bank of America
,,Amazon
,,"Refinery29, Inc."
,,Deeplink
,,Internal Results
,,Twitter
,,
,,
,,CBS Interactive
,,Anvil + Gear
,,Univision Communications Inc.
,,The Home Depot
,,Adobe
,,BCG Digital Ventures
,,Listrak
,,The New Republic
,,Vibrant Media
,,Aon Hewitt
,,HelloGiggles
,,McKinsey & Company
,,
,,Safety Culture
,,Google
,,Triad Retail Media
,,Galvanize Inc
,,InSITE
,,"Public Good Software, Inc."
,,Moat
,,Proskauer Rose LLP
,,Airspectiv Media
,,Splash (SplashThat.com)
,,T3
,,Tokyo Electric Power Company
,,"BigEyedWish, LLC"
,,Main Street Genome
,,Brand Auction
,,"b. little & co., inc."
,,Racery
,,Payfone Inc
,,Unilever Foodsolutions
,,Re/code
,,La Fondation du Startup de MontrŽal
,,
,,DialogTech
,,Phenomenon Media
,,Accenture
,,"Vox Media, Inc."
,,Davis & Gilbert LLP
,,TRUSTe
,,Aerserv
,,Goldman Sachs
,,LightStep
,,Asia Innovations
,,Unified Social
,,ISA
,,SKS Enterprise Technologies S.A. de C.V.
,,Digital Advertising Consortium Inc.
,,Triad Retail Media
,,ClearSlide
,,McKinsey & Company
,,Procter & Gamble
,,
,,8 Securities
,,Appcoach
,,Zadig Capital Management LLC
,,Rikai Labs
,,Lugh Studio
,,ENIAC Ventures
,,Upfront Ventures
,,"Imagiroo, LLC"
,,OWLR
,,Dreamit
,,"ExecThread, Inc."
,,Vogue
,,
,,Spire Education
,,Lumia Capital
,,YuMe
,,StartupBus
,,Tinker Studio
,,Accelerate Health Network
,,Vi Coworking
,,Reginaa Pte.Ltd.
,,Sizmek
,,Quartz
,,Sinister Foxy Productions
,,CNBC
,,SouthGroup Insurance Services
,,
,,Office of the General Counsel- NYC Department of Education
,,OpenTable
,,Illinois EPA
,,TrepTrips / OS
,,Republic Spaces
,,DIRECTV
,,8coupons
,,"Refinery29, Inc."
,,Deloitte
,,Goodwin Procter LLP
,,Paul Hastings
,,AdRepublic
,,Disney ABC Television Group
,,Hewlett Packard Enterprise
,,NRG eSports (http://nrg.gg/)
,,Jobscan
,,Credit Suisse Investment Banking
,,Avanti Interactive LLC
,,POPSUGAR
,,H&R Block
,,KryptonCloud
,,Self Employed
,,Metamarkets
,,AppNexus
,,Palantir Technologies
,,
,,Wieden + Kennedy
,,goodpoint. Fellows GmbH
,,remind meditation
,,
,,Technicolor and Technicolor Ventures
,,Brand Your Flow
,,Mila Living
,,Wandou Labs
,,DirtyKitchen
,,"Martech Media, Inc."
,,FedEx Express
,,AppNexus
,,Homemade (Grazer Labs Inc.)
,,Conjure
,,Fashionista.com
,,BookingBuilder Technologies
,,Yahoo! JAPAN
,,"Lily Robotics, Inc."
,,Codete GmbH
,,Facebook
,,The Manning Group-- dba Orange Leaf Frozen Yogurt
,,Original9 Media
,,Wind Creek Hospitality
,,Tremor Video
,,JackThreads
,,"Playboy Enterprises, Inc."
,,"ProtectWise, Inc."
,,Minbox
,,Josar Media Inc. (creator of The Tastebud App)
,,Team Detroit
,,Google
,,Sheng Li Digital
,,ExposeBox
,,Kramer Media
,,LDV Capital
,,
,,Scholastic
,,"Airpush, Inc."
,,PubMatic
,,SXSW (South by Southwest)
,,Dark Swan of Denmark
,,
,,Axial
,,Keller Williams NYC
,,Notation Capital
,,Franklin Pierce University
,,Hardbound
,,McLaren Applied Technologies
,,iProcedures LLC
,,Bravenet Media
,,Milestone Entertainment
,,Monkimun
,,Take the Interview
,,ChinaNetCloud
,,Partners Group
,,Mode Media Corporation (formerly Glam Media)
,,Synchronoss Technologies
,,Biscuit.io
,,Turfmapp
,,"Illumified, Inc."
,,SheKnows Media
,,Allstate Insurance Agency
,,Picturelife
,,JFE Startup Accelerator - New York
,,Too Young To Wed
,,BBVA
,,
,,Zillow Group
,,WorkHacks
,,A+E Networks
,,Oracle
,,Wildlife Alliance
,,Clubvivre
,,Opera Mediaworks
,,HWTrek
,,Mobile Marketing Association
,,Smaato
,,Junto Health
,,Chinaccelerator
,,Nielsen
,,PebblePost
,,CBS Interactive
,,Vestorly
,,QHR
,,Google
,,??/TeslaHead
,,The New York Times
,,Freelance
,,Olga Steidl Digital
,,AppSumo.com
,,The Huffington Post
,,Freshdesk Inc.
,,Liquid | Powered by Publishers Clearing House
,,Creatives Loop International Ltd. & Co KG
,,Beth Israel Deaconess Medical Center
,,MingJian
,,Business France (Invest in France)
,,MIT Enterprise Forum of New York
,,Analog Devices
,,Cars.com
,,Here Media
,,
,,"MeetMe, Inc. (MeetMe.com / Social Theater)"
,,Nylon Magazine
,,
,,General Assembly
,,MEX
,,Origami
,,Koupon Media
,,United States Senate
,,
,,Newsela
,,"Phil, Inc."
,,
,,Sled
,,Drizly
,,Boston Properties
,,SoundCloud
,,Big Heart Pet Brands
,,D.A.Consortium Inc.
,,Young & Rubicam Group
,,PatientBank
,,
,,Spotify
,,VCNC
,,McCann Worldgroup
,,PS Dept.
,,Hitlist
,,Gravity4
,,
,,
,,Thrill On
,,"Ikon Arts Foundation, Inc"
,,Care+Wear
,,Smaato
,,Massachusetts Institute of Technology (MIT)
,,ayzenberg group
,,Princeton University
,,Dotinspace
,,Gatorade
,,Kraft Foods Group
,,Advance Digital
,,National Academy of Television Arts and Sciences
,,Say Media
,,500 Startups
,,Xaxis
,,JPMorgan Chase & Co.
,,MEC
,,Code and Theory
,,Splash
,,Click2CallNetwork.com
,,Facebook
,,Uber
,,Brown Rudnick
,,Khan Academy
,,Education Development Center (EDC)
,,Millennial Staffing
,,"Modern Capital Concepts, Inc."
,,General Assembly
,,Openers
,,Rovio Entertainment Ltd.
,,Nvent
,,Lilac NYC
,,CleverTap
,,Primia.Digital (formerly Orange Advertising)
,,Solight Design
,,Webisaba Ltd
,,Gear Patrol
,,Hungry Fan
,,Islands
,,Factual Inc.
,,AirFind
,,Google
,,The Durst Organization
,,
,,AlpInvest Partners (The Carlyle Group)
,,Team in Residence
,,Tinkerine Studios Ltd
,,Cicerone Mobile
,,"Flexport (Google Ventures, Founder's Fund, Bloomberg, First Round Capital)"
,,Counsyl
,,TouchPal
,,CustomInk
,,Glassdoor
,,General Catalyst Partners
,,Captiv8
,,Blue Cross Blue Shield of Massachusetts
,,Contentful
,,CondŽ Nast
,,Bank of America Merrill Lynch
,,ZADY
,,"Hired, Inc"
,,PopGun Presents
,,Freestyle Capital
,,i/o ventures
,,Daversa Partners
,,Opera Mediaworks
,,"Law Offices of Ezra Spilke, PLLC"
,,Freelance Photo Editor
,,Xpand.io
,,magicJack
,,Sizmek
,,"Alchemic Solutions Group, Inc."
,,YuMe Networks
,,"comScore, Inc."
,,Clique Media Group/WhoWhatWear.com
,,Galvanize Inc
,,M&C Saatchi Mobile
,,Growth Capital Services (GCS)
,,Albright Stonebridge Group
,,Free Range Technology
,,Gradus
,,GroupM
,,"MindMeld, Inc."
,,SAGE Worldwide
,,Sourcepoint Technologies Inc
,,Sandstorm
,,Pillow Homes
,,Verve
,,"Gibson, Dunn & Crutcher LLP"
,,Liquid | Powered by PCH
,,Maker Studios Inc
,,Geektime
,,Columbia University in the City of New York
,,Future plc
,,AppNexus
,,Fox Television Group
,,The Dilenschneider Group
,,Bertelsmann Digital Media Investments
,,Sourced Adventures
,,
,,Verve Mobile
,,imgix
,,Motiv Inc
,,Aldebaran - Softbank Group
,,The Wireless Registry Inc.
,,Brands Up
,,Nokia Growth Partners
,,BBG Ventures
,,mCordis
,,pulseData
,,Shapiro Auctions
,,Pearson
,,Photomojo
,,The Gate NY
,,Opera Mediaworks
,,New York Media
,,Redpoint Ventures
,,Meet Boutique (???)
,,Privately-Held Media and Information Technology Company
,,"Daniel B. Swerdlin, Attorney at Law"
,,FreeWheel
,,Foursquare
,,MobileMoxie LLC. (Previously Rank-Mobile LLC)
,,EquityZen (Pre-IPO Investment Platform)
,,Shoes of Prey
,,HTC
,,AppNexus
,,Birchbox
,,Fluid Interaction
,,Cortina Productions
,,Guvera
,,Adelphic Mobile
,,Astrsk
,,KPMG
,,"Core Audience, Inc."
,,DocSend
,,MediaMath
,,PeekYou LLC
,,Backstage
,,My Home Office
,,Wells Fargo
,,Accountability Counsel
,,Ipsos
,,Opera Mediaworks
,,Noodle Education
,,Independent Consultant: Sotheby's & AARP
,,Talented Square Corporation
,,Haworth Marketing + Media
,,Real Business
,,Linden Lab
,,NTT DATA Americas
,,Johnson & Johnson
,,Bowery Capital
,,Vibes
,,Global Press Institute
,,The Wall Street Journal
,,LTI Worldwide Limo
,,BabyCenter
,,Amazon
,,"Bonaventure Equity, LLC"
,,Sawhorse Media
,,Thinknear by Telenav
,,AIG
,,InMobi
,,Women in Wireless
,,Andela
,,Consulate General of Finland in New York
,,ERJ Group
,,"NBCUniversal, Inc."
,,Twitter
,,Bloomberg LP
,,Merkley + Partners
,,Citadel LLC
,,Turner Broadcasting
,,Deloitte
,,Trendy New York
,,x.ai
,,"FDI Strategies, LLC"
,,VNG Corporation
,,JUICE Mobile
,,SpeakCode
,,Mediapost
,,Andela
,,Stereogum
,,TravelEnvy
,,Local Measure
,,SV Angel
,,Crisp Media
,,Fjuul Vision Oy
,,Lehman College
,,THINX
,,Bessemer Venture Partners
,,Symphony Commerce
,,MediaMath
,,Rebtel
,,Thi Linh Photography
,,Uber
,,Jaunt VR
,,Royal Jay
,,Cooley LLP
,,
,,The Collective Factory
,,Visa
,,Farallon Restaurant
,,Texas Exes
,,Meal Maison
,,Expedia CruiseShipCenters
,,General Assembly
,,GitHub
,,Tapad Inc
,,????
,,"Cadwalader, Wickersham & Taft LLP"
,,Christofferson Robb & Company
,,IAB
,,Avvo
,,"ADstruc, Inc."
,,"FiftyThree, Inc."
,,Cloudability
,,Alpha UX
,,Postmates
,,Twilio Inc.
,,www.calvinapp.com
,,"o9 Solutions, Inc."
,,Brickwork
,,GSV Asset Management
,,Mezic Media
,,Glassful
,,Concierge Auctions
,,FlyDrones
,,
,,Yellow Pages Group / Groupe Pages Jaunes Ð Canada
,,Betcade
,,MoLabs Inc.
,,Custora
,,Edelman
,,DePaul University
,,Yahoo
,,Cartuna
,,Young Gunner Films
,,Cleary Gottlieb Steen & Hamilton LLP
,,CORE40 Studios
,,Location Based Marketing Association
,,Barclays
,,Razorfish
,,Faculty of Applied Sciences - Simon Fraser University
,,Verifone
,,IVY
,,Microsoft
,,J. Walter Thompson Worldwide
,,"Kantan Games, Inc."
,,Orchard Platform
,,Interactive Brokers
,,Time Inc. UK
,,IBM
,,Salesforce
,,StartingBloc
,,General Assemb.ly
,,Sanoma
,,Applause
,,Google
,,Windforce Ventures
,,District M
,,Carmack AB
,,Zynga
,,Prairie City Bakery
,,Time Inc.
,,Turner Broadcasting System
,,IBL Sea Food Cluster
,,Bread Finance
,,Simplified Properties
,,
,,Crisp Media
,,Navigant
,,Yahoo! JAPAN
,,BlackRock
,,Bombora
,,Hubbl
,,Phoenix New Times
,,Pivotal Labs
,,New Narrative Ltd.
,,HelloBaytree
,,
,,Splash App
,,"PSF Founders Group, LLC"
,,Self Employed
,,ArchaicPost.com
,,Brady Corporation
,,
,,"Jones Lang LaSalle, New York"
,,Solstice Mobile
,,Digital Healthcare Startup
,,
,,MIT
,,SmugMug
,,"Fansmit, Inc."
,,Columbia University in the City of New York
,,UIEvolution
,,PP+K
,,LuxŽpolis
,,Google
,,Crisp Media
,,Quaid Media
,,FinTech Startup
,,MediaCom
,,YPO - Young Presidents' Organization
,,Saucey
,,AdMonsters
,,Advanced Rx Management
,,Marketing Network Consultants Ltd
,,"BDO USA, LLP"
,,Chinaccelerator
,,Grand Central Tech
,,R/GA
,,AppsFlyer
,,YeahMobi
,,"GameChanger Media, Inc."
,,TMM Industries
,,PEOPLE Magazine | PEOPLE.com
,,Uber Technologies
,,Sphericam
,,SNOWE
,,Hourglass Cosmetics
,,Australian Information Industry Association (AIIA)
,,MLB Advanced Media
,,Core Innovation Capital
,,General Assembly
,,Self Employed
,,Yieldmo
,,Morgan Stanley
,,Rabobank International
,,Fuqua School of Business
,,ISDA
,,Quaero
,,AdMarvel Inc.
,,The Magnet Agency
,,IAC
,,CoverWallet
,,
,,Hearst Magazines
,,Tuck School of Business at Dartmouth College
,,Sourceeasy
,,Oscar Insurance
,,TURNBULL AGENCY
,,"Markistry, LLC. - Bespoke Marketing Tailors"
,,AppNexus
,,Everlane
,,Freelance
,,Stirling Insurance Services LLC
,,Mobvista
,,Oscar Insurance
,,Wize Services
,,Techstars
,,Neo@Ogilvy
,,App Annie
,,Huge
,,SMART (Start Making A Reader Today)
,,
,,Startup Companies
,,Pylons
,,TechNode
,,Drip
,,"Vitamin T, a division of AQUENT"
,,Undertone
,,Fuse TV
,,Independent Curator
,,shopkick
,,Whitepages
,,Searchlight Inc.
,,
,,Google
,,www.Cognation.net
,,LUMA Partners LLC
,,Google
,,Linden Lab
,,Endure to Cure Pediatric Cancer Foundation
,,Crisp Media
,,AsiaTrust Capital
,,ACS
,,Jumpstart Foundry
,,BUILD
,,Munch Ado
,,Twitter
,,Paddy Power
,,Bletchley Park LLC
,,Apiary
,,General Assembly
,,Mattel
,,R/GA
,,dgroup
,,FundersDigest
,,The Trade Desk
,,"Button, Inc."
,,The Mobile Life
,,Google
,,Google
,,Space Exploration Technologies
,,ASL Marketing
,,Oracle Marketing Cloud - BlueKai
,,Palantir Technologies
,,General Assembly
,,Smart Walkie Talkie
,,JPMorgan Chase & Co.
,,Swably.com
,,The Edgewaterfunds Funds
,,Silicon Valley Bank
,,Unilever
,,Automattic
,,MEC
,,The Chaat Company
,,Jawbone
,,BBC News
,,Black Marketing - Enabling LinkedIn For You Across The World
,,"Kik Interactive, Inc."
,,Iponweb Japan
,,I Heart Keenwah
,,"Expedia, Inc."
,,Coursera
,,MACH37 Cyber Accelerator
,,advantEdge Partners
,,
,,Work & Company
,,Grey Healthcare Group
,,AdMaster Inc.
,,MIGHTY PR
,,Hotel Westminster
,,Shanghai Qibao Dwight High School
,,HappyFresh
,,Marvel
,,Vimeo
,,The Founder Institute
,,Cyanogen Inc
,,PSafe Tecnologia S/A
,,Jampp
,,CardFlight
,,Learning.ly from The Economist Group
,,Ignite by Adecco
,,Stealth Mode Startup
,,America Innovates
,,Time Inc.
,,Unigo Group
,,prudentialdouglaselliman
,,"Gimbal, Inc."
,,PicsArt Inc.
,,ICM Partners
,,Suncorp Group
,,
,,CMUNE
,,Nike
,,Oracle Data Cloud
,,Advance Local
,,Andela
,,Yahoo
,,"Nann & Associates, LLC"
,,Hook Mobile
,,Samsung Accelerator
,,Exponent
,,"The Weather Company, an IBM Business"
,,Independent Consulting
,,AccuWeather
,,TechCrunch
,,CrunchBase
,,Nanigans
,,Karma Science
,,LinkedIn
,,Sophisticated Weddings: New York Edition
,,Bloomerent
,,acuteIQ
,,Daily Racing Form
,,Texts.com
,,Pebble Code
,,iHeartMedia
,,DR.ZIPE - (Snow Goggles) www.DrZipe.com &
,,Tipjar
,,
,,Factual Inc
,,Microsoft
,,Siwenna Ventures
,,Teads.tv
,,Sourcepoint Technologies Inc
,,VentureOut
,,TriNet
,,S'well bottle
,,Edelman
,,WME Venture Partners
,,ROBOT COMMUNICATIONS INC.
,,Dstillery
,,ClearBridge Investments
,,United Nations OCHA
,,ERM: Environmental Resources Management
,,Strong-Bridge Consulting
,,Alison P Tugwell Inc.
